True_Label,Predicted_Label,Correct
HONOR-70_1,HONOR-70_1,True
OPPO-FINDX3PRO_2,OPPO-FINDX3PRO_2,True
HUAWEI-PadSE,HUAWEI-PadSE,True
HUAWEI-PadSE,HUAWEI-PadSE,True
HUAWEI-mate50pro,HUAWEI-mate50pro,True
HUAWEI-PadSE,HUAWEI-PadSE,True
VIVO-X70_PRO_1,VIVO-X70_PRO_1,True
OPPO-A36,OPPO-A36,True
OPPO-A36,OPPO-A36,True
VIVO-X60_2,VIVO-X60_2,True
OPPO-A36,OPPO-A36,True
OPPO-FINDX3_2,OPPO-FINDX3_2,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
OPPO-FINDX5_2,HUAWEI-MateBook,False
HUAWEI-PadSE,HUAWEI-PadSE,True
XIAOMI-10MI1,XIAOMI-10MI1,True
IQOO-Z9X,IQOO-Z9X,True
HUAWEI-MateBook,HUAWEI-MateBook,True
XIAOMI-13,XIAOMI-13,True
XIAOMI-MI11Lite,XIAOMI-MI11Lite,True
VIVO-X60_2,VIVO-X60_2,True
VIVO-X60_2,VIVO-X60_2,True
VIVO-X70_PRO_1,VIVO-X70_PRO_1,True
XIAOMI-13,XIAOMI-13,True
HUAWEI-mate50pro,HUAWEI-mate50pro,True
XIAOMI-MI11Lite,XIAOMI-MI11Lite,True
HONOR-70_2,HONOR-70_2,True
OPPO-FINDX3_2,OPPO-FINDX3_2,True
HUAWEI-mate30_1,HUAWEI-mate30_1,True
OPPO-FINDX3PRO_2,OPPO-FINDX3PRO_2,True
HONOR-70_1,HONOR-70_1,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
XIAOMI-10MI1,XIAOMI-10MI1,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
XIAOMI-MI11Lite,XIAOMI-MI11Lite,True
OPPO-A36,OPPO-A36,True
VIVO-X70_PRO_1,VIVO-X70_PRO_1,True
OPPO-FINDX3PRO_2,OPPO-FINDX3PRO_2,True
VIVO-X60_2,VIVO-X60_2,True
IQOO-Z9X,IQOO-Z9X,True
HUAWEI-PadSE,HUAWEI-PadSE,True
XIAOMI-13,XIAOMI-13,True
HUAWEI-mate50pro,HUAWEI-mate50pro,True
HONOR-70_2,HONOR-70_2,True
HUAWEI-MateBook,HUAWEI-MateBook,True
HUAWEI-MateBook,HUAWEI-MateBook,True
IQOO-Z9X,IQOO-Z9X,True
XIAOMI-10MI1,HUAWEI-PadSE,False
IQOO-Z9X,IQOO-Z9X,True
HUAWEI-mate30_1,HUAWEI-mate30_1,True
XIAOMI-MI11Lite,XIAOMI-MI11Lite,True
HONOR-70_2,HUAWEI-PadSE,False
OPPO-FINDX3_2,OPPO-FINDX3_2,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
VIVO-X60_2,VIVO-X60_2,True
HUAWEI-mate30_1,HUAWEI-mate30_1,True
