True_Label,Predicted_Label,Correct
HUAWEI-mate50pro,HUAWEI-mate50pro,True
XIAOMI-13,XIAOMI-13,True
HONOR-70_1,HONOR-70_1,True
HUAWEI-PadSE,HUAWEI-PadSE,True
OPPO-A36,OPPO-A36,True
HUAWEI-PadSE,HUAWEI-PadSE,True
XIAOMI-13,XIAOMI-13,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
HUAWEI-mate30_1,HUAWEI-mate30_1,True
VIVO-X60_2,VIVO-X60_2,True
VIVO-X70_PRO_1,VIVO-X70_PRO_1,True
OPPO-FINDX3_2,OPPO-FINDX3_2,True
OPPO-A36,OPPO-A36,True
HONOR-70_1,HONOR-70_1,True
HUAWEI-mate30_1,HUAWEI-mate30_1,True
VIVO-X60_2,VIVO-X60_2,True
OPPO-FINDX3_2,OPPO-FINDX3_2,True
HUAWEI-PadSE,HUAWEI-PadSE,True
OPPO-A36,OPPO-A36,True
HUAWEI-MateBook,HUAWEI-MateBook,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
XIAOMI-MI11Lite,XIAOMI-MI11Lite,True
VIVO-X70_PRO_1,VIVO-X70_PRO_1,True
OPPO-A36,OPPO-A36,True
XIAOMI-10MI1,HUAWEI-mate30_1,False
XIAOMI-10MI1,XIAOMI-10MI1,True
HONOR-70_2,HONOR-70_2,True
IQOO-Z9X,IQOO-Z9X,True
HUAWEI-mate50pro,HUAWEI-mate50pro,True
OPPO-FINDX3PRO_2,OPPO-FINDX3PRO_2,True
VIVO-X60_2,VIVO-X60_2,True
HONOR-70_2,HUAWEI-PadSE,False
OPPO-FINDX5_2,OPPO-FINDX5_2,True
OPPO-FINDX3PRO_2,OPPO-FINDX3PRO_2,True
XIAOMI-MI11Lite,XIAOMI-MI11Lite,True
VIVO-X70_PRO_1,VIVO-X70_PRO_1,True
XIAOMI-MI11Lite,XIAOMI-MI11Lite,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
VIVO-X60_2,VIVO-X60_2,True
OPPO-A36,OPPO-A36,True
XIAOMI-13,XIAOMI-13,True
VIVO-X60_2,VIVO-X60_2,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
OPPO-FINDX3PRO_2,OPPO-FINDX3PRO_2,True
VIVO-X70_PRO_1,HUAWEI-mate30_1,False
IQOO-Z9X,IQOO-Z9X,True
HUAWEI-PadSE,HUAWEI-PadSE,True
XIAOMI-MI11Lite,XIAOMI-MI11Lite,True
HUAWEI-mate50pro,HUAWEI-mate50pro,True
HONOR-70_2,HONOR-70_2,True
HUAWEI-MateBook,HUAWEI-MateBook,True
HUAWEI-MateBook,HUAWEI-MateBook,True
IQOO-Z9X,IQOO-Z9X,True
XIAOMI-10MI1,XIAOMI-10MI1,True
IQOO-Z9X,IQOO-Z9X,True
HUAWEI-mate30_1,HUAWEI-mate30_1,True
OPPO-FINDX3_2,OPPO-FINDX3_2,True
