Original_Row_Index,Label,Cluster_Label
0,HONOR-60SE_1,44
1,HONOR-60SE_1,1
2,HONOR-60SE_1,44
3,HONOR-60SE_1,47
4,HONOR-60SE_1,1
5,HONOR-60SE_1,20
6,HONOR-60SE_1,1
7,HONOR-60SE_1,1
8,HONOR-60SE_1,20
9,HONOR-60SE_1,20
10,HONOR-60SE_1,1
11,HONOR-60SE_2,41
12,HONOR-60SE_2,15
13,HONOR-60SE_2,15
14,HONOR-60SE_2,41
15,HONOR-60SE_2,48
16,HONOR-60SE_2,19
17,HONOR-60SE_2,41
18,HONOR-60SE_2,7
19,HONOR-60SE_2,8
20,HONOR-60SE_2,19
21,HONOR-60SE_2,41
22,HONOR-60SE_2,48
23,HONOR-60SE_2,19
24,HONOR-60SE_2,8
25,HONOR-60SE_2,25
26,HONOR-60SE_2,8
27,HONOR-60SE_2,48
28,HONOR-60SE_2,35
29,HONOR-60SE_2,19
30,HONOR-60SE_2,41
31,HONOR-70Pro,20
32,HONOR-70Pro,1
33,HONOR-70Pro,19
34,HONOR-70Pro,10
35,HONOR-70Pro,1
36,HONOR-70Pro,10
37,HONOR-70Pro,1
38,HONOR-70Pro,19
39,HONOR-70Pro,10
40,HONOR-70Pro,10
41,HONOR-70Pro,1
42,HONOR-70Pro,19
43,HONOR-70_1,39
44,HONOR-70_1,0
45,HONOR-70_1,0
46,HONOR-70_1,9
47,HONOR-70_1,39
48,HONOR-70_1,39
49,HONOR-70_1,22
50,HONOR-70_1,3
51,HONOR-70_1,9
52,HONOR-70_1,22
53,HONOR-70_1,28
54,HONOR-70_1,22
55,HONOR-70_1,3
56,HONOR-70_1,3
57,HONOR-70_1,39
58,HONOR-70_1,39
59,HONOR-70_1,3
60,HONOR-70_1,3
61,HONOR-70_1,22
62,HONOR-70_1,3
63,HONOR-70_2,30
64,HONOR-70_2,5
65,HONOR-70_2,30
66,HONOR-70_2,37
67,HONOR-70_2,5
68,HONOR-70_2,31
69,HONOR-70_2,32
70,HONOR-70_2,5
71,HONOR-70_2,5
72,HONOR-70_2,10
73,HONOR-70_2,30
74,HONOR-80,30
75,HONOR-80,30
76,HONOR-80,5
77,HONOR-80,49
78,HONOR-80,30
79,HONOR-80,30
80,HONOR-80,5
81,HONOR-80,30
82,HONOR-80,3
83,HONOR-80,23
84,HONOR-80,30
85,HONOR-80,30
86,HONOR-80_SE_1,10
87,HONOR-80_SE_1,44
88,HONOR-80_SE_1,19
89,HONOR-80_SE_1,1
90,HONOR-80_SE_1,19
91,HONOR-80_SE_1,1
92,HONOR-80_SE_1,20
93,HONOR-80_SE_1,10
94,HONOR-80_SE_1,1
95,HONOR-80_SE_1,47
96,HONOR-80_SE_1,1
97,HONOR-80_SE_2,10
98,HONOR-80_SE_2,1
99,HONOR-80_SE_2,20
100,HONOR-80_SE_2,19
101,HONOR-80_SE_2,1
102,HONOR-80_SE_2,20
103,HONOR-80_SE_2,20
104,HONOR-80_SE_2,1
105,HONOR-V40,1
106,HONOR-V40,10
107,HONOR-V40,1
108,HONOR-V40,19
109,HONOR-V40,19
110,HONOR-V40,1
111,HONOR-V40,19
112,HONOR-V40,19
113,HONOR-V40,10
114,HONOR-V40,47
115,HONOR-V40,47
116,HONOR-V40,24
117,HONOR-V40,47
