True Label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
HONOR-70Pro,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
HONOR-70_1,10,0,0,0,7,0,0,0,0,0,0,3,0,0,0
HUAWEI-mate30_1,0,0,0,0,0,0,0,1,0,1,0,7,1,0,1
IP-14,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0
IPAD-mini5_1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPPO-A36,7,0,0,0,2,1,1,0,0,0,0,9,0,0,0
OPPO-FINDX3PRO_1,5,1,0,0,5,0,0,0,0,0,0,1,0,0,0
OPPO-FINDX3PRO_2,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0
OPPO-FINDX3_2,0,0,0,0,4,0,0,0,1,0,0,6,0,0,0
OPPO-FINDX5TianJi,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0
OPPO-FINDX6_1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
VIVO-X70_PRO_2,0,0,0,1,1,0,0,0,0,0,0,0,0,11,0
VIVO-X90,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0
XIAOMI-10MI1,1,0,0,0,3,0,0,0,0,0,0,7,0,1,0
XIAOMI-MI11Lite,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0
