Original_Row_Index,Label,Cluster_Label
0,HONOR-70Pro,13
1,HONOR-70Pro,13
2,HONOR-70Pro,13
3,HONOR-70Pro,13
4,HONOR-70Pro,13
5,HONOR-70Pro,13
6,HONOR-70Pro,13
7,HONOR-70Pro,13
8,HONOR-70Pro,13
9,HONOR-70Pro,13
10,HONOR-70Pro,13
11,HONOR-70Pro,13
12,HONOR-70_1,4
13,HONOR-70_1,11
14,HONOR-70_1,11
15,HONOR-70_1,4
16,HONOR-70_1,4
17,HONOR-70_1,4
18,HONOR-70_1,0
19,HONOR-70_1,0
20,HONOR-70_1,4
21,HONOR-70_1,0
22,HONOR-70_1,11
23,HONOR-70_1,0
24,HONOR-70_1,0
25,HONOR-70_1,0
26,HONOR-70_1,4
27,HONOR-70_1,4
28,HONOR-70_1,0
29,HONOR-70_1,0
30,HONOR-70_1,0
31,HONOR-70_1,0
32,HUAWEI-mate30_1,11
33,HUAWEI-mate30_1,9
34,HUAWEI-mate30_1,11
35,HUAWEI-mate30_1,7
36,HUAWEI-mate30_1,11
37,HUAWEI-mate30_1,11
38,HUAWEI-mate30_1,11
39,HUAWEI-mate30_1,12
40,HUAWEI-mate30_1,11
41,HUAWEI-mate30_1,14
42,HUAWEI-mate30_1,11
43,IPAD-mini5_1,0
44,IPAD-mini5_1,0
45,IPAD-mini5_1,0
46,IPAD-mini5_1,0
47,IPAD-mini5_1,0
48,IPAD-mini5_1,0
49,IPAD-mini5_1,0
50,IPAD-mini5_1,0
51,IPAD-mini5_1,0
52,IPAD-mini5_1,0
53,IPAD-mini5_1,0
54,IPAD-mini5_1,0
55,IPAD-mini5_1,0
56,IPAD-mini5_1,0
57,IPAD-mini5_1,0
58,IPAD-mini5_1,0
59,IPAD-mini5_1,0
60,IPAD-mini5_1,0
61,IPAD-mini5_1,0
62,IPAD-mini5_1,0
63,IPAD-mini5_1,0
64,IPAD-mini5_1,0
65,IP-14,0
66,IP-14,0
67,IP-14,0
68,IP-14,0
69,IP-14,10
70,IP-14,0
71,IP-14,2
72,IP-14,0
73,IP-14,0
74,IP-14,0
75,IP-14,0
76,IP-14,0
77,OPPO-A36,11
78,OPPO-A36,4
79,OPPO-A36,0
80,OPPO-A36,0
81,OPPO-A36,4
82,OPPO-A36,5
83,OPPO-A36,11
84,OPPO-A36,11
85,OPPO-A36,11
86,OPPO-A36,0
87,OPPO-A36,11
88,OPPO-A36,11
89,OPPO-A36,0
90,OPPO-A36,11
91,OPPO-A36,6
92,OPPO-A36,0
93,OPPO-A36,0
94,OPPO-A36,0
95,OPPO-A36,11
96,OPPO-A36,11
97,OPPO-FINDX3PRO_1,4
98,OPPO-FINDX3PRO_1,4
99,OPPO-FINDX3PRO_1,0
100,OPPO-FINDX3PRO_1,4
101,OPPO-FINDX3PRO_1,11
102,OPPO-FINDX3PRO_1,4
103,OPPO-FINDX3PRO_1,1
104,OPPO-FINDX3PRO_1,0
105,OPPO-FINDX3PRO_1,0
106,OPPO-FINDX3PRO_1,0
107,OPPO-FINDX3PRO_1,0
108,OPPO-FINDX3PRO_1,4
109,OPPO-FINDX3PRO_2,11
110,OPPO-FINDX3PRO_2,11
111,OPPO-FINDX3PRO_2,11
