Label,Cluster,Best_Match_Pred,6_Count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5,Range_1,Range_2,Range_1_2,Lack_Count
HONOR-60SE_1,16,HONOR-70_1,3,0,0,0,0,0,2,0,0,0
HONOR-60SE_1,0,HONOR-80_SE_1,4,1,1,0,0,0,2,2,1,2
HONOR-60SE_1,0,HONOR-80_SE_1,3,1,1,0,0,0,2,3,1,2
HONOR-60SE_1,1,IPAD-11air,1,0,0,0,0,0,2,3,1,0
HONOR-60SE_1,0,HONOR-80_SE_1,2,1,1,0,0,0,1,3,0,2
HONOR-60SE_1,0,HONOR-80_SE_1,3,1,1,0,0,0,2,3,1,2
HONOR-60SE_1,0,HONOR-80_SE_1,2,1,1,0,0,0,1,0,0,2
HONOR-60SE_1,0,HONOR-80_SE_1,3,1,1,0,0,0,2,3,1,2
HONOR-60SE_1,0,HONOR-80_SE_1,2,1,1,0,0,0,2,3,1,2
HONOR-60SE_1,0,HONOR-80_SE_1,2,1,1,0,0,0,0,2,0,2
HONOR-60SE_1,0,HONOR-80_SE_1,2,1,1,0,0,0,2,0,0,2
HONOR-60SE_1,0,HONOR-80_SE_1,3,1,1,0,0,0,2,3,1,2
HONOR-70_1,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,16,HONOR-70_1,3,0,0,0,0,0,0,5,0,0
HONOR-70_1,16,HONOR-70_1,3,0,0,0,0,0,0,6,0,0
HONOR-70_1,16,HONOR-70_1,4,0,0,0,0,0,0,3,0,0
HONOR-70_1,16,HONOR-70_1,3,0,0,0,0,0,0,2,0,0
HONOR-70_1,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,13,XIAOMI-10MI10,5,0,0,0,0,0,0,0,0,0
HONOR-70_1,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,16,HONOR-70_1,2,0,0,0,0,0,0,0,0,0
HONOR-70_1,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,16,HONOR-70_1,1,0,0,0,0,0,0,0,0,0
HONOR-70_1,16,HONOR-70_1,4,0,0,0,0,0,0,0,0,0
HONOR-70_1,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,16,HONOR-70_1,2,0,0,0,0,0,0,0,0,0
HONOR-70_1,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,16,HONOR-70_1,1,0,0,0,0,0,0,0,0,0
HONOR-80_SE_1,0,HONOR-80_SE_1,5,1,1,0,0,0,2,5,1,2
HONOR-80_SE_1,16,HONOR-70_1,5,0,0,0,0,0,2,2,1,0
HONOR-80_SE_1,0,HONOR-80_SE_1,3,1,1,0,0,0,1,4,1,2
HONOR-80_SE_1,0,HONOR-80_SE_1,3,1,1,0,0,0,0,0,0,2
HONOR-80_SE_1,0,HONOR-80_SE_1,2,1,1,0,0,0,2,6,1,2
HONOR-80_SE_1,0,HONOR-80_SE_1,2,1,1,0,0,0,0,0,0,2
HONOR-80_SE_1,0,HONOR-80_SE_1,8,1,1,0,0,0,2,6,1,2
HONOR-80_SE_1,0,HONOR-80_SE_1,4,1,1,0,0,0,2,0,0,2
HONOR-80_SE_1,0,HONOR-80_SE_1,3,1,1,0,0,0,2,6,1,2
HONOR-80_SE_1,0,HONOR-80_SE_1,2,1,1,0,0,0,2,6,1,2
HONOR-80_SE_1,0,HONOR-80_SE_1,3,1,1,1,0,0,1,2,0,3
HONOR-80_SE_1,0,HONOR-80_SE_1,3,1,1,0,0,0,2,1,1,2
HONOR-80_SE_2,0,HONOR-80_SE_1,1,1,1,1,0,1,2,5,1,4
HONOR-80_SE_2,0,HONOR-80_SE_1,3,1,1,0,0,0,2,3,1,2
HONOR-80_SE_2,0,HONOR-80_SE_1,3,1,1,0,0,0,2,3,0,2
HONOR-80_SE_2,0,HONOR-80_SE_1,3,1,1,0,0,0,0,0,0,2
HONOR-80_SE_2,0,HONOR-80_SE_1,3,1,1,0,0,0,2,6,1,2
HONOR-80_SE_2,0,HONOR-80_SE_1,3,1,1,0,0,0,2,2,0,2
HONOR-80_SE_2,0,HONOR-80_SE_1,4,1,1,0,0,0,2,3,0,2
HONOR-80_SE_2,0,HONOR-80_SE_1,3,1,1,0,0,0,2,5,1,2
HUAWEI-mate40pro,11,XIAOMI-10MI3,6,0,0,0,0,0,0,3,0,0
HUAWEI-mate40pro,11,XIAOMI-10MI3,4,0,0,0,0,0,0,5,0,0
HUAWEI-mate40pro,12,HUAWEI-mate40pro,3,0,0,0,0,0,0,2,0,0
HUAWEI-mate40pro,12,HUAWEI-mate40pro,3,0,0,0,0,0,0,3,0,0
HUAWEI-mate40pro,16,HONOR-70_1,3,0,0,0,0,0,0,3,0,0
HUAWEI-mate40pro,16,HONOR-70_1,3,0,0,0,1,0,0,5,0,1
HUAWEI-mate40pro,16,HONOR-70_1,3,0,0,0,0,0,0,2,0,0
HUAWEI-mate40pro,16,HONOR-70_1,3,0,0,0,0,0,0,3,0,0
HUAWEI-mate40pro,12,HUAWEI-mate40pro,3,0,0,0,0,0,0,3,0,0
HUAWEI-mate40pro,16,HONOR-70_1,4,0,0,0,0,1,0,6,0,1
HUAWEI-mate40pro,12,HUAWEI-mate40pro,3,0,0,0,0,0,0,6,0,0
HUAWEI-mate40pro,16,HONOR-70_1,3,0,0,0,0,0,0,6,0,0
HUAWEI-mate50pro,1,IPAD-11air,2,1,0,0,0,0,2,6,1,1
HUAWEI-mate50pro,16,HONOR-70_1,5,0,0,0,0,0,1,3,0,0
HUAWEI-mate50pro,1,IPAD-11air,4,0,0,0,0,0,2,6,1,0
HUAWEI-mate50pro,1,IPAD-11air,3,0,0,0,0,0,2,4,1,0
HUAWEI-mate50pro,8,OPPO-FINDX3PRO_2,4,0,0,0,1,0,1,4,1,1
HUAWEI-mate50pro,1,IPAD-11air,1,0,0,0,0,0,2,6,1,0
