Label,Cluster,Best_Match_Pred,6_Count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5,Range_1,Range_2,Range_1_2,Lack_Count
HONOR-60SE_1,10,HONOR-80_SE_1,3,0,0,0,0,0,2,0,0,0
HONOR-60SE_1,17,HONOR-60SE_1,4,1,1,0,0,0,2,2,1,2
HONOR-60SE_1,17,HONOR-60SE_1,3,1,1,0,0,0,2,3,1,2
HONOR-60SE_1,2,VIVO-X90,1,0,0,0,0,0,2,3,1,0
HONOR-60SE_1,2,VIVO-X90,2,1,1,0,0,0,1,3,0,2
HONOR-60SE_1,17,HONOR-60SE_1,3,1,1,0,0,0,2,3,1,2
HONOR-60SE_1,14,HUAWEI-MateBook,2,1,1,0,0,0,1,0,0,2
HONOR-60SE_1,17,HONOR-60SE_1,3,1,1,0,0,0,2,3,1,2
HONOR-60SE_1,17,HONOR-60SE_1,2,1,1,0,0,0,2,3,1,2
HONOR-60SE_1,2,VIVO-X90,2,1,1,0,0,0,0,2,0,2
HONOR-60SE_1,10,HONOR-80_SE_1,2,1,1,0,0,0,2,0,0,2
HONOR-60SE_1,17,HONOR-60SE_1,3,1,1,0,0,0,2,3,1,2
HONOR-70_1,0,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,13,HUAWEI-mate40pro,3,0,0,0,0,0,0,5,0,0
HONOR-70_1,13,HUAWEI-mate40pro,3,0,0,0,0,0,0,6,0,0
HONOR-70_1,3,HUAWEI-mate60pro,4,0,0,0,0,0,0,3,0,0
HONOR-70_1,6,XIAOMI-10MI10,3,0,0,0,0,0,0,2,0,0
HONOR-70_1,0,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,16,IPhone-12_LTE32,5,0,0,0,0,0,0,0,0,0
HONOR-70_1,0,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,0,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,0,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,9,IP-14,2,0,0,0,0,0,0,0,0,0
HONOR-70_1,0,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,0,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,0,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
HONOR-70_1,9,IP-14,1,0,0,0,0,0,0,0,0,0
