Rank,Feature_Name,Importance_Score,Feature_Type
1,Next_Packet_After_First_Stage,0.03926576691560925,Numeric
2,First_Stage_Time_Diff,0.03005812374597175,Numeric
3,Type_6_Last_Time,0.025625088094504568,Numeric
4,Type_5_Last_Time,0.02560028937389304,Numeric
5,A_Mean_IAT,0.02415291100128075,Numeric
6,A_IAT_P95,0.024118241048318063,Numeric
7,Type_3_First_Occurrence_Time,0.02410388550760632,Numeric
8,Type_3_Last_Time,0.023598967783243312,Numeric
9,Type_4_First_Occurrence_Time,0.022998386705021374,Numeric
10,Type_5_First_Occurrence_Time,0.02297417521682371,Numeric
11,Range_1,0.022353107559771362,Numeric
12,Type_6_Time,0.022177823901180838,Numeric
13,Type_6_Time_Ratio,0.02213254811530114,Numeric
14,A_Retran_intervals,0.021933086320836626,Numeric
15,A_IAT_StdDev,0.020972863143364676,Numeric
16,Gap_45_Time_Ratio,0.02077569043577887,Numeric
17,Gap_23_Time,0.020586424916154013,Numeric
18,Type_4_Last_Time,0.020579987434309062,Numeric
19,A_Silence_Max_Duration,0.02040985597775668,Numeric
20,A_Silence_Total_Duration,0.020173063963993872,Numeric
21,Assoc_Time_Ratio,0.019908571200426353,Numeric
22,A_Silence_Avg_Duration,0.019872498514361275,Numeric
23,A_IAT_P90,0.019711345688171178,Numeric
24,Probe_Time_Ratio,0.019053389136729142,Numeric
25,Gap_34_Time_Ratio,0.01902180812384062,Numeric
26,Gap_34_Time,0.01875468911025425,Numeric
27,Type_6_First_Occurrence_Time,0.018039321892693146,Numeric
28,A_IAT_IQR,0.017886797639595314,Numeric
29,Range_2,0.01778418257994645,Numeric
30,Gap_23_Time_Ratio,0.017189296645018327,Numeric
31,A_IAT_Q3,0.01685238770864216,Numeric
32,Gap_45_Time,0.015991324730184952,Numeric
33,A_IAT_P10,0.014191019108101208,Numeric
34,A_CV,0.013965596673420623,Numeric
35,A_Burst_Duration,0.013796322869812182,Numeric
36,Probe_Time,0.013629319567228593,Numeric
37,A_Burst_Rate,0.01359658682175698,Numeric
38,A_IAT_Median,0.013184595552301849,Numeric
39,A_Kurtosis,0.01315939294300016,Numeric
40,Type_2_Last_Time,0.012809428792694404,Numeric
41,Assoc_Time,0.012787414256549206,Numeric
42,Type_2_First_Occurrence_Time,0.01272502378376002,Numeric
43,A_IAT_Q1,0.012591981728428946,Numeric
