Rank,Feature_Name,Importance_Score,Feature_Type
1,First_Stage_Time_Diff,0.06851979428197405,Numeric
2,Type_4_First_Occurrence_Time,0.0669092271728866,Numeric
3,Type_5_First_Occurrence_Time,0.06414219809927428,Numeric
4,Type_6_First_Occurrence_Time,0.06033004035369526,Numeric
5,Next_Packet_After_First_Stage,0.05931004482762026,Numeric
6,Type_3_First_Occurrence_Time,0.05043884169851079,Numeric
7,Type_2_First_Occurrence_Time,0.039380596955836275,Numeric
8,Range_2,0.03402253804504753,Numeric
9,Range_1,0.030614380273003627,Numeric
10,Type_6_Count,0.029782103602860103,Numeric
11,Type_2_Count,0.02504921338007703,Numeric
12,Range_1_2,0.021142623746634823,Numeric
13,lk_count,0.017536811402698374,Numeric
14,ex_3_3_4,0.016016356842116504,Excess
15,Type_3_Count,0.015428748160809675,Numeric
16,Type_1_Count,0.013827707210303413,Numeric
17,Dst_One_Exist,0.013798447540345543,Numeric
18,lk_elem_1,0.013014681495016254,Numeric
19,ex_2_2_2_3,0.011785620919100263,Excess
20,seq_range_1_2_2_2_1_2_2_2,0.011641580517689164,Sequence
21,seq_range_1_2_2_2,0.011560227285541838,Sequence
22,Type_5_Count,0.01148716742355229,Numeric
23,Type_4_Count,0.011461184617620168,Numeric
24,seq_1_2_2_2_3_3_4_5_6_6_6_6,0.010298903066577113,Sequence
25,ex_2_2_3,0.01001446170106767,Excess
26,lk_elem_2,0.008618103197794444,Numeric
27,seq_range_1_2_2_1_2_2_2,0.007365914282907303,Sequence
28,seq_1_2_2_2_3_3_4_5_6_6_6,0.00662217541509195,Sequence
29,seq_range_1_2_2_2_1,0.006538719476393146,Sequence
30,ex_3_2_3_4,0.006377917243083442,Excess
31,seq_range_1_2_2_2_1_2_2,0.0059540267312738916,Sequence
32,seq_3_3_4_5_6_6_6_6,0.005924193531148362,Sequence
33,seq_range_1_1_2_2_2_2_2_2,0.005586194075080729,Sequence
34,seq_range_2_2_2,0.0054469376655899085,Sequence
35,seq_range_1_2_2,0.005290837858827057,Sequence
36,seq_range_1_1_2_2_2,0.004988836961992935,Sequence
37,seq_1_2_2_2_3_3_4_6_6_6_6,0.0046030701281552355,Sequence
38,lk_elem_3,0.004295956811970439,Numeric
39,ex_5_1_2_2_2_2,0.004009630765701921,Excess
40,seq_1_2_2_2_3_4_5_6_6_6_6,0.003841508832404579,Sequence
41,ex_3_3_5_5,0.0037954683910935505,Excess
42,ex_4_4_5,0.003741247141692623,Excess
43,seq_3_3_4_5_6_6_6,0.003464946531623876,Sequence
44,seq_range_2_2_2_2_2_2,0.00341393067459919,Sequence
45,seq_range_1_2,0.003337686167466258,Sequence
46,seq_1_2_2_2_3_3_4_5_6_6_6_6_6,0.0032400645387575537,Sequence
47,seq_1_2_2_2_3_3_4_5_6_6_6_6_6_6,0.00315507576137772,Sequence
48,seq_1_2_2_3_3_4_5_6_6_6_6,0.0030424858413846396,Sequence
49,seq_range_1_2_2_1_2_2,0.002845469060439658,Sequence
50,ex_1_3_2,0.0028181707255510824,Excess
51,seq_3_3_4_5_6_6_6_6_6,0.0027237673246934325,Sequence
52,seq_range_2_2_2_2_2,0.002702754149982068,Sequence
53,seq_3_4_5_6_6_6_6,0.002627940518496348,Sequence
54,seq_1_2_3_3_4_5_6_6_6_6,0.002521894416748815,Sequence
55,seq_range_2_2,0.0024816633314273763,Sequence
56,seq_range_1_2_2_2_2_2,0.0023626515319873915,Sequence
57,seq_range_2,0.002355347352365482,Sequence
58,ex_5_2_2_2_2,0.0023197569698079185,Excess
59,seq_1_2_2_3_2_3_4_5_6_6_6_6,0.0021279679186510313,Sequence
60,seq_1_2_2_2_3_4_5_6_6_6,0.0021120353416257936,Sequence
61,seq_1_2_2_2_3_3_4_5_6_6,0.0021026603364392295,Sequence
62,seq_range_1,0.002031117349019788,Sequence
63,ex_3_3_3,0.0019961325526951772,Excess
64,Type_1_First_Occurrence_Time,0.0019086583781358151,Numeric
65,seq_3_3_4_6,0.0017997170964534886,Sequence
66,lk_elem_4,0.0016968679294484042,Numeric
67,ex_5_5_5,0.0016375778897865,Excess
68,ex_3_2_2_3_4,0.0015976601197983664,Excess
69,seq_range_2_1_2_2_2,0.0015749378996510904,Sequence
70,ex_3_3_3_4,0.0015718731210468695,Excess
71,seq_3_3_4_6_6_6_6,0.0015470573462142197,Sequence
72,seq_1_2_2_3_3_4_5_6_6_6_6_6,0.0015305632218723653,Sequence
73,seq_range_1_2_2_2_1_2,0.001455277189435729,Sequence
74,seq_1_3_3_5_6_6,0.0014427329208151654,Sequence
75,seq_1_2_2_3_3_4_6_6_6_6,0.0014153548576003225,Sequence
76,ex_1_1_2,0.001410024890059802,Excess
77,seq_1_2_3_3_4_5_6_6_6,0.0014038608314441937,Sequence
78,ex_3_2_4,0.001385742260905151,Excess
79,ex_4_4_4_4_5,0.0013782484862253433,Excess
80,seq_range_1_2_2_1_2,0.0013744893738283945,Sequence
81,seq_3_3_4_5_6_6,0.0013094138971864028,Sequence
82,seq_range_2_2_1_2_2,0.0012764725850560516,Sequence
83,seq_3_3_4_6_6_6,0.0012563955492212878,Sequence
84,seq_3_3_4_4_4_4_5_6_6_6_6_6_6_6_6_6,0.0012418659511044612,Sequence
85,seq_3_3_4_5_6_6_6_6_6_6,0.0012376158513724381,Sequence
86,seq_4_6_6,0.001199535539530959,Sequence
87,seq_1_2_2_3_4_5_6_6_6,0.0011883658941893062,Sequence
88,seq_1_2_2_2_3_3_5_6_6,0.001186881691396157,Sequence
89,seq_1_2_2_3_3_4_5_6_6_6,0.0011336304319496942,Sequence
90,seq_1_2_2_2_3_3_5_6_6_6_6,0.001131915989672853,Sequence
91,seq_range_1_1_2,0.0010957458743317556,Sequence
92,seq_1_2_2_2_3_3_4_4_5_6_6_6_6,0.0010895764345758,Sequence
93,seq_1_2_2_3_2_3_4_5_6_6_6,0.0010799035213588269,Sequence
94,ex_3_5_5,0.0010707501483586464,Excess
95,ex_5_1_2_2_2,0.001065993795284151,Excess
96,seq_3_3_4_4_4_4_4_5_6_6_6_6,0.001046276976275343,Sequence
97,seq_range_1_2_1_2,0.0010179223002274077,Sequence
98,seq_1_2_2_3_2_3_4_5_6_6_6_6_2_2,0.0009632984415331178,Sequence
99,seq_1_2_2_3_2_3_4_5_6_6_6_1_2_2_2,0.0009543915517365397,Sequence
100,seq_range_2_2_2_1_2_2,0.000953789274330877,Sequence
101,seq_1_2_3_2_4_5_6_6_6,0.0009520163631649065,Sequence
102,seq_3_3_4_4_5_6_6_6_6,0.0009512691861549029,Sequence
103,ex_5_2_2_2,0.000925460380690742,Excess
104,seq_1_2_4_4_6_6_6,0.0009214345184611838,Sequence
105,seq_1_2_2_3_2_3_4_5_6_6_6_6_2_2_2,0.0009194555543504014,Sequence
106,seq_range_2_2_2_2,0.0009178028476054852,Sequence
107,seq_1_2_2_2_3_3_4_5_5_6_6_6_6,0.0008973934302103358,Sequence
108,ex_1_3_3_5_5,0.0008865835514978797,Excess
109,seq_4_5_6_6_6_6,0.0008807884031715777,Sequence
110,seq_1_2_2_3_2_4_5_6_6_6_6_1_2_2_2,0.0008730858538999889,Sequence
111,seq_range_1_1_1,0.0008596352577663855,Sequence
112,seq_3_3_5_6_6_6_6_6,0.0008563482301518746,Sequence
113,ex_4_4_4,0.0008535866610934938,Excess
114,seq_1_2_2_3_3_4_5_6_6_6_6_6_6_6,0.0008520564368274267,Sequence
115,ex_2_2_2_4_4,0.0008453674293579841,Excess
116,seq_1_2_2_2_3_3_4_4_5_6_6_6_6_6_6_6_6,0.0008432307288240485,Sequence
117,seq_range_1_1,0.0008374564408959315,Sequence
118,seq_1_2_2_3_4_5_6_6_6_6,0.000825143794339504,Sequence
119,ex_2_4_5_1_2_2_2_2,0.0008244130923519035,Excess
120,seq_3_4_5_6_6,0.0008234960738070677,Sequence
121,seq_1_2_2_2_3_3_4_5_6_6_6_6_6_6_6,0.0008183612913729518,Sequence
122,seq_4_5_6_6,0.000807373171233813,Sequence
