Rank,Feature_Name,Importance_Score,Feature_Type
1,Next_Packet_After_First_Stage,0.07440085484894932,Numeric
2,Type_4_First_Occurrence_Time,0.044583847706856715,Numeric
3,Type_4_Last_Time,0.038380890703935196,Numeric
4,A_Retran_intervals,0.03352484565647195,Numeric
5,Type_3_Last_Time,0.0335228913122705,Numeric
6,Type_6_First_Occurrence_Time,0.03309455527454009,Numeric
7,A_IAT_Median,0.032515888366299435,Numeric
8,Type_5_First_Occurrence_Time,0.03176958351945224,Numeric
9,Type_6_Time_Ratio,0.031312405893464186,Numeric
10,Type_5_Last_Time,0.030702720307207138,Numeric
11,Gap_34_Time_Ratio,0.02848459760627388,Numeric
12,Gap_45_Time_Ratio,0.02782691972314763,Numeric
13,Range_2,0.027620892693158216,Numeric
14,Gap_34_Time,0.027263028806436093,Numeric
15,Assoc_Time,0.026745679955198883,Numeric
16,A_IAT_Q3,0.026261006872396374,Numeric
17,A_IAT_P10,0.02597328603439835,Numeric
18,A_IAT_Q1,0.024651428707397543,Numeric
19,Type_6_Time,0.024410040975310993,Numeric
20,A_IAT_Skew_Ratio,0.02363783329264695,Numeric
21,Gap_45_Time,0.022861248890794213,Numeric
22,A_IAT_P95,0.02237469889320166,Numeric
23,Assoc_Time_Ratio,0.022022578987812378,Numeric
24,A_CV,0.021635068761010946,Numeric
25,Type_6_Last_Time,0.021498439192785376,Numeric
26,A_Mean_IAT,0.021160315462422828,Numeric
27,A_Kurtosis,0.020345960886028407,Numeric
28,A_Burst_Duration,0.020312806332467223,Numeric
29,A_IAT_P90,0.02002325925005214,Numeric
30,First_Stage_Time_Diff,0.019509051113196497,Numeric
31,A_Burst_Rate,0.01910180687150969,Numeric
32,Range_1,0.0182877518177576,Numeric
33,A_Silence_Max_Duration,0.016005982709130905,Numeric
34,A_IAT_StdDev,0.015632454528454676,Numeric
35,A_Silence_Avg_Duration,0.015216934233123137,Numeric
36,Range_1_2,0.015187062122831734,Numeric
37,A_Skewness,0.013656898865672958,Numeric
38,A_Silence_Total_Duration,0.012763740809517034,Numeric
39,Type_6_Count,0.011980360318647153,Numeric
40,Trans_5_6,0.0016439348126592642,Numeric
41,Trans_4_6,0.001180223014364383,Numeric
42,Trans_4_5,0.0009162238707480435,Numeric
43,Gap_23_Time,0.0,Numeric
44,Trans_6_5,0.0,Numeric
45,Trans_6_4,0.0,Numeric
46,A_Silence_Count,0.0,Numeric
47,Trans_6_3,0.0,Numeric
48,Trans_6_2,0.0,Numeric
49,Dst_One_Exist,0.0,Numeric
