Rank,Feature_Name,Importance_Score,Feature_Type
1,Next_Packet_After_First_Stage,0.11586026990391317,Numeric
2,A_IAT_P95,0.06391310490124463,Numeric
3,First_Stage_Time_Diff,0.06053798830372788,Numeric
4,Gap_23_Time,0.055384321592297475,Numeric
5,A_IAT_IQR,0.055201519434313444,Numeric
6,Type_6_Last_Time,0.05509442815412773,Numeric
7,Type_5_Last_Time,0.052754465571927124,Numeric
8,Type_5_First_Occurrence_Time,0.05158828166721857,Numeric
9,A_IAT_StdDev,0.04977546219581503,Numeric
10,Gap_23_Time_Ratio,0.0455698894119774,Numeric
11,A_Mean_IAT,0.045118602537615335,Numeric
12,Type_3_First_Occurrence_Time,0.04457976683374654,Numeric
13,Range_2,0.044352498992674794,Numeric
14,Type_4_Last_Time,0.039540535176976206,Numeric
15,Type_4_First_Occurrence_Time,0.038721673928816085,Numeric
16,Type_3_Last_Time,0.03829933045981032,Numeric
17,Gap_45_Time_Ratio,0.03707687260274294,Numeric
18,A_IAT_P90,0.036684404419862725,Numeric
19,Gap_34_Time,0.03507566768644681,Numeric
20,Type_6_Time,0.034870916224745786,Numeric
