Rank,Feature_Name,Importance_Score,Feature_Type
1,Next_Packet_After_First_Stage,0.036877586787438736,Numeric
2,First_Stage_Time_Diff,0.027139394947938968,Numeric
3,A_Mean_IAT,0.026692883390643674,Numeric
4,Type_6_Time_Ratio,0.024921639899832145,Numeric
5,A_IAT_P95,0.024865378128174576,Numeric
6,Type_6_Last_Time,0.024787446620203244,Numeric
7,Gap_34_Time_Ratio,0.023138413159061025,Numeric
8,A_Retran_intervals,0.021871367973611226,Numeric
9,A_IAT_StdDev,0.02161277756670837,Numeric
10,Gap_34_Time,0.021272882905933724,Numeric
11,Type_3_Last_Time,0.02111547098712016,Numeric
12,A_Silence_Total_Duration,0.021076167736320647,Numeric
13,Type_5_First_Occurrence_Time,0.020760289696315593,Numeric
14,Range_1,0.020493404526203445,Numeric
15,A_Silence_Max_Duration,0.02036559720817209,Numeric
16,Type_4_First_Occurrence_Time,0.02032401111656897,Numeric
17,Type_6_Time,0.02007355886405776,Numeric
18,Gap_23_Time,0.01929971429472984,Numeric
19,Assoc_Time_Ratio,0.018995374965476677,Numeric
20,Probe_Time_Ratio,0.018940129779100902,Numeric
21,A_IAT_Q1,0.018861923490587285,Numeric
22,Type_3_First_Occurrence_Time,0.01866151567922085,Numeric
23,Type_4_Last_Time,0.018278261212193923,Numeric
24,Gap_45_Time_Ratio,0.0181820599068966,Numeric
25,A_IAT_P90,0.018133432005541874,Numeric
26,A_Skewness,0.017633430022381675,Numeric
27,Gap_45_Time,0.017573523301797105,Numeric
28,A_IAT_IQR,0.01730835284497019,Numeric
29,Gap_23_Time_Ratio,0.017277485794504322,Numeric
30,Range_2,0.017240790643559902,Numeric
31,Type_6_First_Occurrence_Time,0.017001064729876975,Numeric
32,A_Silence_Avg_Duration,0.016945380242972097,Numeric
33,Type_5_Last_Time,0.016507397964604542,Numeric
34,A_IAT_Median,0.01623372692603147,Numeric
35,A_IAT_P10,0.015996756394048833,Numeric
36,A_CV,0.014535248796543677,Numeric
37,A_IAT_Q3,0.01430286672321142,Numeric
38,Assoc_Time,0.013767109999978362,Numeric
39,A_Kurtosis,0.01368341264813507,Numeric
40,Type_2_Last_Time,0.01361046220561674,Numeric
41,A_Burst_Duration,0.013600248164374785,Numeric
42,Type_2_First_Occurrence_Time,0.013198707348208882,Numeric
43,Probe_Time,0.012836856498027946,Numeric
44,Range_1_2,0.010965915672551979,Numeric
45,A_IAT_Skew_Ratio,0.010600076528729034,Numeric
46,seq_range_1_2_2,0.00955748641968653,Sequence
47,seq_range_1_2_2_2,0.009079840036875349,Sequence
48,A_Burst_Rate,0.009009615179756137,Numeric
49,A_Silence_Rate,0.008612286959566062,Numeric
50,Type_6_Count,0.006147866476770182,Numeric
51,Trans_6_6,0.005884231350034028,Numeric
52,Type_2_Count,0.004959103246863503,Numeric
53,Type_1_Count,0.004497475860748295,Numeric
54,ex_3_3_4,0.004161843963028209,Excess
55,seq_1_2_2_2_3_3_4_5_6_6_6_6,0.003868274681105691,Sequence
56,ex_2_2_2_3,0.0037816121324803073,Excess
57,Trans_3_2,0.0036687891998147446,Numeric
58,Trans_2_2,0.003427223569479108,Numeric
59,Trans_3_3,0.0033986048653274997,Numeric
60,lk_count,0.002957241736181298,Numeric
61,ex_2_2_3,0.0026197558867222786,Excess
62,Trans_1_2,0.0025471224656047485,Numeric
63,seq_range_1_2_1_2_2,0.0022778960861367043,Sequence
64,Type_3_Count,0.0021565180975606653,Numeric
65,Trans_3_5,0.0020671339139517386,Numeric
66,Trans_4_5,0.0019212884684209823,Numeric
67,Trans_2_3,0.0018911762604005985,Numeric
68,Trans_1_1,0.001826460636095981,Numeric
69,Type_1_Last_Time,0.0017830446238875145,Numeric
70,lk_elem_5,0.0017467393711515183,Numeric
71,Type_5_Count,0.0016922966721020576,Numeric
72,lk_elem_4,0.0016291517836817518,Numeric
73,Type_4_Count,0.0015965162752316227,Numeric
74,ex_3_2_3_4,0.0015335593938009247,Excess
75,lk_elem_1,0.001473057116084172,Numeric
76,ex_3_3_5_5,0.0014658242362515044,Excess
77,seq_range_1_2_2_2_1_2_2,0.0014449536154046837,Sequence
78,seq_1_2_3_3_4_5_6_6_6,0.0011862650582328816,Sequence
79,Trans_1_3,0.0010215518571925065,Numeric
80,Trans_4_4,0.0010098835723551278,Numeric
81,seq_1_1_2_2_3_3_4_5_6_6_6_6,0.0010014001402038153,Sequence
82,seq_range_1_2_2_1_2_2_2,0.0009846463515318549,Sequence
83,seq_range_2_2,0.0009672337585173325,Sequence
84,seq_range_1_2_2_2_1_2_2_2,0.0009325466060892652,Sequence
85,ex_3_3_3_4,0.0009234355146970844,Excess
86,seq_1_2_2_3_3_4_5_6_6_6_6,0.0008865181818423907,Sequence
87,Trans_5_6,0.0008810874764572679,Numeric
88,seq_1_2_2_3_3_4_5_6_6_6,0.0008656818141163228,Sequence
89,seq_1_2_2_3_2_3_4_5_6_6_6_6,0.0008474842724359797,Sequence
