Rank,Feature_Name,Importance_Score,Feature_Type
1,Next_Packet_After_First_Stage,0.05028845326636529,Numeric
2,First_Stage_Time_Diff,0.03579914780687077,Numeric
3,Type_6_Last_Time,0.029752706417382195,Numeric
4,Gap_23_Time,0.027617359123305346,Numeric
5,Range_1,0.027138752921064952,Numeric
6,Type_3_First_Occurrence_Time,0.026448971625017005,Numeric
7,Type_6_Time,0.026399010392499592,Numeric
8,Type_6_Time_Ratio,0.024902721978413797,Numeric
9,Type_4_First_Occurrence_Time,0.023879067602318522,Numeric
10,A_Silence_Total_Duration,0.02320792371689011,Numeric
11,A_IAT_P95,0.022960128331466274,Numeric
12,Type_3_Last_Time,0.02279068592384958,Numeric
13,A_IAT_StdDev,0.02227724302065059,Numeric
14,Assoc_Time_Ratio,0.022061108203099162,Numeric
15,Type_5_Last_Time,0.021976257596107555,Numeric
16,Probe_Time_Ratio,0.021779975390523443,Numeric
17,Gap_23_Time_Ratio,0.02160717246848089,Numeric
18,A_Silence_Avg_Duration,0.02124069091552638,Numeric
19,A_Mean_IAT,0.02115814829420326,Numeric
20,A_Retran_intervals,0.021049493371379926,Numeric
21,Gap_34_Time_Ratio,0.020871359569172118,Numeric
22,Range_2,0.020743521987311168,Numeric
23,Gap_34_Time,0.020709653313174564,Numeric
24,A_Silence_Max_Duration,0.02038789950872425,Numeric
25,Gap_45_Time_Ratio,0.019874010107001735,Numeric
26,Type_5_First_Occurrence_Time,0.019401482490891315,Numeric
27,Probe_Time,0.019118750558348288,Numeric
28,Type_2_Last_Time,0.01878304764195717,Numeric
29,A_CV,0.01864031857346546,Numeric
30,A_IAT_IQR,0.01851492483411087,Numeric
31,A_IAT_Median,0.018511030706581503,Numeric
32,A_IAT_Skew_Ratio,0.017859154005273256,Numeric
33,Type_4_Last_Time,0.017488059658656078,Numeric
34,A_Kurtosis,0.016748485497249915,Numeric
35,Assoc_Time,0.016480617763414404,Numeric
36,A_IAT_Q3,0.01613621719004002,Numeric
37,A_IAT_P10,0.015925846324729397,Numeric
38,Gap_45_Time,0.015872562943635215,Numeric
39,Type_6_First_Occurrence_Time,0.015706182750879115,Numeric
40,A_IAT_P90,0.015569277184037252,Numeric
41,Type_2_First_Occurrence_Time,0.015498888042622285,Numeric
42,A_Skewness,0.015294014929146376,Numeric
43,A_Burst_Duration,0.014967476367743563,Numeric
44,A_IAT_Q1,0.013915652409383215,Numeric
45,A_Burst_Rate,0.01290402370690545,Numeric
46,A_Silence_Rate,0.011726141999686688,Numeric
47,Range_1_2,0.010756490105133914,Numeric
48,Type_6_Count,0.006016689346111598,Numeric
49,Type_2_Count,0.0058316623025445255,Numeric
50,Type_3_Count,0.004215325443072736,Numeric
51,Trans_3_3,0.003209332394072925,Numeric
52,Type_1_Count,0.002028252397783297,Numeric
53,Type_4_Count,0.0018569828410937613,Numeric
54,Trans_4_5,0.0013225000430164633,Numeric
55,Trans_4_6,0.0009091154185038198,Numeric
56,Type_5_Count,0.0007614481454043288,Numeric
57,Trans_5_6,0.0006053128289151876,Numeric
58,Type_1_Last_Time,0.0005032703047922459,Numeric
59,Type_1_First_Occurrence_Time,0.0,Numeric
60,Trans_5_1,0.0,Numeric
