True_Label,Predicted_Label,Correct
VIVO-X70_PRO_2,VIVO-X70_PRO_2,True
HUAWEI-mate40pro,HUAWEI-mate40pro,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
HUAWEI-mate40pro,HUAWEI-mate40pro,True
HONOR-V40,HONOR-V40,True
HUAWEI-mate40,HUAWEI-mate30_1,False
HUAWEI-PadSE,HUAWEI-PadSE,True
HONOR-V40,HONOR-V40,True
HONOR-V40,HONOR-V40,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
HUAWEI-mate40pro,HUAWEI-mate40pro,True
HUAWEI-PadSE,HUAWEI-PadSE,True
IPAD-9_2,IPAD-9_2,True
IPad-11air,IPad-11air,True
HUAWEI-PadSE,HUAWEI-PadSE,True
HUAWEI-mate40,HUAWEI-mate30_1,False
HONOR-V40,VIVO-X70_PRO_2,False
IPad-11air,IPad-11air,True
VIVO-X70_PRO_2,VIVO-X70_PRO_2,True
VIVO-X70_PRO_2,VIVO-X70_PRO_2,True
HONOR-V40,VIVO-X70_PRO_2,False
HUAWEI-mate40,HUAWEI-mate30_1,False
HUAWEI-mate30_1,HUAWEI-mate30_1,True
IPAD-9_2,IPAD-9_2,True
VIVO-X70_PRO_2,VIVO-X70_PRO_2,True
IPAD-9_2,IPAD-9_2,True
HUAWEI-PadSE,HUAWEI-PadSE,True
VIVO-X70_PRO_2,VIVO-X70_PRO_2,True
HUAWEI-mate40pro,HUAWEI-mate40pro,True
HUAWEI-mate40pro,HUAWEI-mate40pro,True
HUAWEI-mate40,HUAWEI-mate40,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
HONOR-V40,HONOR-V40,True
VIVO-X70_PRO_2,VIVO-X70_PRO_2,True
HUAWEI-PadSE,HUAWEI-PadSE,True
IPad-11air,IPad-11air,True
HUAWEI-mate30_1,HONOR-V40,False
IPAD-9_2,IPAD-9_2,True
HUAWEI-mate40pro,HUAWEI-mate40pro,True
HONOR-80_SE_1,HONOR-V40,False
HUAWEI-mate30_1,HUAWEI-mate30_1,True
HUAWEI-mate40pro,HUAWEI-mate40pro,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
HONOR-V40,HONOR-V40,True
HONOR-80_SE_1,HONOR-V40,False
IPAD-9_2,IPAD-9_2,True
HONOR-V40,VIVO-X70_PRO_2,False
IPad-11air,IPad-11air,True
HUAWEI-mate30_1,HUAWEI-mate30_1,True
IPAD-9_2,IPAD-9_2,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
HUAWEI-PadSE,HUAWEI-PadSE,True
HONOR-80_SE_1,IPAD-9_2,False
HUAWEI-mate40pro,HUAWEI-mate40pro,True
HUAWEI-mate40,HUAWEI-mate40,True
HUAWEI-mate40pro,HUAWEI-mate40pro,True
HUAWEI-mate30_1,HUAWEI-mate30_1,True
IPad-11air,IPad-11air,True
HUAWEI-mate40,HUAWEI-mate40,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
VIVO-X70_PRO_2,VIVO-X70_PRO_2,True
IPad-11air,IPad-11air,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
HUAWEI-PadSE,HUAWEI-PadSE,True
IPad-11air,IPad-11air,True
HONOR-80_SE_1,HONOR-V40,False
HONOR-80_SE_1,HONOR-80_SE_1,True
HUAWEI-mate40pro,HUAWEI-mate40pro,True
HONOR-V40,HONOR-80_SE_1,False
IPad-11air,IPad-11air,True
OPPO-FINDX5_2,OPPO-FINDX5_2,True
