Rank,Feature_Name,Importance_Score,Feature_Type
1,First_Stage_Time_Diff,0.10206256590163174,Numeric
2,Next_Packet_After_First_Stage,0.09399293216190206,Numeric
3,Type_4_First_Occurrence_Time,0.08722666827110884,Numeric
4,Type_5_First_Occurrence_Time,0.08159643451452439,Numeric
5,Type_3_First_Occurrence_Time,0.08086140386877536,Numeric
6,Avg_Time_Dst_1,0.08063614535379202,Numeric
7,Type_6_First_Occurrence_Time,0.0718342543631263,Numeric
8,Type_2_First_Occurrence_Time,0.04610051257335312,Numeric
9,Dst_One_Count,0.04158659904876725,Numeric
10,Range_2,0.03808425012452152,Numeric
11,Type_6_Count,0.03231327948509117,Numeric
12,Type_2_Count,0.03203453514900698,Numeric
13,Range_1,0.025040082676478333,Numeric
14,Range_1_2,0.02089381117743311,Numeric
15,lk_count,0.01715072621691493,Numeric
16,Type_1_Count,0.017122757352742823,Numeric
17,Type_3_Count,0.01690306209947783,Numeric
18,lk_elem_1,0.015956654480069925,Numeric
19,ex_3_3_4,0.013948576413984762,Excess
20,ex_2_2_2_3,0.010909241882943784,Excess
21,Type_4_Count,0.010851633807559899,Numeric
22,lk_elem_2,0.01029330793703316,Numeric
23,ex_2_2_3,0.008660734369187894,Excess
24,Type_5_Count,0.008366499301935362,Numeric
25,seq_range_1_2_2_2_1_2_2_2,0.008014375911767374,Sequence
26,seq_1_2_2_2_3_3_4_5_6_6_6_6,0.007608123030692179,Sequence
27,seq_range_1_2_2_2,0.007186098577093326,Sequence
28,seq_3_3_4_5_6_6_6_6,0.006390710987203473,Sequence
29,seq_range_1_2_2,0.003799773369018329,Sequence
30,seq_range_2_2_2,0.0025742495928627114,Sequence
