Time,Dst,Type
0.0,0,1
2.6941299438476562e-05,0,2
0.0009210109710693359,0,2
0.0009579658508300781,0,2
0.002148866653442383,0,3
0.002174854278564453,0,3
0.004765987396240234,0,4
0.011631965637207031,0,5
0.017920970916748047,0,6
0.020431995391845703,0,6
0.02263498306274414,0,6
0.023955821990966797,0,6
10.617633819580078,1,1
10.617664813995361,0,2
10.618577003479004,0,2
10.618594884872437,0,2
10.636996984481812,1,1
10.641950845718384,0,2
10.643450021743774,0,2
20.57432198524475,1,1
20.576086044311523,0,2
20.576117038726807,0,2
20.595399856567383,0,2
20.59542989730835,0,2
20.596370935440063,0,2
