Label,excess,6_Count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5,Range_1,Range_2,Range_1_2,Lack_Count
HONOR-60SE_1,"[(2, 2, 2, 1, 2, 2, 3), (3, 3, 4)]",3,0,0,0,0,0,2,0,0,0
HONOR-60SE_1,"[(3, 3, 4)]",4,1,1,0,0,0,2,2,1,2
HONOR-60SE_1,"[(3, 3, 4)]",3,1,1,0,0,0,2,3,1,2
HONOR-60SE_1,"[(2, 2, 2, 1, 2, 3), (3, 3, 4)]",1,0,0,0,0,0,2,3,1,0
HONOR-60SE_1,[],2,1,1,0,0,0,1,3,0,2
HONOR-60SE_1,"[(3, 3, 4)]",3,1,1,0,0,0,2,3,1,2
HONOR-60SE_1,"[(3, 3, 4)]",2,1,1,0,0,0,1,0,0,2
HONOR-60SE_1,"[(3, 3, 4)]",3,1,1,0,0,0,2,3,1,2
HONOR-60SE_1,"[(3, 3, 4)]",2,1,1,0,0,0,2,3,1,2
HONOR-60SE_1,"[(3, 3, 4)]",2,1,1,0,0,0,0,2,0,2
HONOR-60SE_1,"[(3, 3, 4)]",2,1,1,0,0,0,2,0,0,2
HONOR-60SE_1,"[(3, 3, 4)]",3,1,1,0,0,0,2,3,1,2
HONOR-70_1,"[(2, 2, 3), (3, 3, 4)]",3,0,0,0,0,0,0,0,0,0
HONOR-70_1,"[(1, 1, 2), (2, 2, 2, 3)]",3,0,0,0,0,0,0,5,0,0
HONOR-70_1,"[(2, 2, 2, 3), (3, 3, 4), (4, 4, 5)]",3,0,0,0,0,0,0,6,0,0
HONOR-70_1,"[(3, 2, 2, 3, 4)]",4,0,0,0,0,0,0,3,0,0
HONOR-70_1,"[(2, 2, 3), (3, 3, 4)]",3,0,0,0,0,0,0,2,0,0
HONOR-70_1,"[(2, 2, 3), (3, 3, 4)]",3,0,0,0,0,0,0,0,0,0
HONOR-70_1,"[(2, 2, 2, 3), (3, 3, 3, 3, 3, 4), (4, 3, 5)]",5,0,0,0,0,0,0,0,0,0
HONOR-70_1,"[(2, 2, 2, 3), (3, 3, 4), (4, 4, 5)]",3,0,0,0,0,0,0,0,0,0
HONOR-70_1,"[(3, 2, 2, 3, 4), (4, 4, 5)]",3,0,0,0,0,0,0,0,0,0
HONOR-70_1,"[(2, 2, 2, 3), (3, 3, 3, 3, 3, 3, 3, 3, 4)]",3,0,0,0,0,0,0,0,0,0
HONOR-70_1,"[(1, 1, 1, 1, 2), (2, 2, 2, 3), (3, 3, 4)]",2,0,0,0,0,0,0,0,0,0
HONOR-70_1,"[(2, 2, 2, 3), (3, 3, 3, 4)]",3,0,0,0,0,0,0,0,0,0
HONOR-70_1,"[(2, 2, 2, 3), (3, 3, 4)]",3,0,0,0,0,0,0,0,0,0
HONOR-70_1,"[(2, 2, 2, 3), (3, 3, 4)]",3,0,0,0,0,0,0,0,0,0
HONOR-70_1,"[(2, 2, 3), (3, 3, 4)]",1,0,0,0,0,0,0,0,0,0
HONOR-70_1,"[(3, 3, 4)]",4,0,0,0,0,0,0,0,0,0
HONOR-70_1,"[(2, 2, 2, 3), (3, 3, 4)]",3,0,0,0,0,0,0,0,0,0
HONOR-70_1,"[(2, 2, 2, 3), (3, 3, 4)]",2,0,0,0,0,0,0,0,0,0
HONOR-70_1,"[(2, 2, 2, 3), (3, 3, 3, 3, 3, 3, 3, 3, 3, 4)]",3,0,0,0,0,0,0,0,0,0
HONOR-70_1,"[(2, 2, 2, 3), (3, 3, 4)]",1,0,0,0,0,0,0,0,0,0
HONOR-80_SE_1,[],5,1,1,0,0,0,2,5,1,2
HONOR-80_SE_1,"[(2, 2, 2, 1, 2, 2, 2, 3), (3, 3, 4)]",5,0,0,0,0,0,2,2,1,0
HONOR-80_SE_1,"[(3, 3, 4)]",3,1,1,0,0,0,1,4,1,2
HONOR-80_SE_1,"[(3, 3, 4), (4, 4, 4, 4, 4, 5)]",3,1,1,0,0,0,0,0,0,2
HONOR-80_SE_1,"[(3, 3, 4), (5, 5, 5)]",2,1,1,0,0,0,2,6,1,2
HONOR-80_SE_1,"[(3, 3, 4)]",2,1,1,0,0,0,0,0,0,2
HONOR-80_SE_1,"[(3, 3, 4), (4, 4, 4, 4, 5)]",8,1,1,0,0,0,2,6,1,2
HONOR-80_SE_1,"[(3, 3, 4)]",4,1,1,0,0,0,2,0,0,2
HONOR-80_SE_1,[],3,1,1,0,0,0,2,6,1,2
HONOR-80_SE_1,"[(3, 3, 4)]",2,1,1,0,0,0,2,6,1,2
HONOR-80_SE_1,[],3,1,1,1,0,0,1,2,0,3
HONOR-80_SE_1,"[(3, 3, 4), (4, 4, 5)]",3,1,1,0,0,0,2,1,1,2
HONOR-80_SE_2,[],1,1,1,1,0,1,2,5,1,4
HONOR-80_SE_2,"[(3, 3, 4)]",3,1,1,0,0,0,2,3,1,2
HONOR-80_SE_2,"[(3, 3, 4)]",3,1,1,0,0,0,2,3,0,2
HONOR-80_SE_2,"[(3, 3, 4)]",3,1,1,0,0,0,0,0,0,2
HONOR-80_SE_2,"[(3, 3, 4)]",3,1,1,0,0,0,2,6,1,2
HONOR-80_SE_2,"[(3, 3, 4)]",3,1,1,0,0,0,2,2,0,2
HONOR-80_SE_2,"[(3, 3, 4)]",4,1,1,0,0,0,2,3,0,2
HONOR-80_SE_2,"[(3, 3, 4)]",3,1,1,0,0,0,2,5,1,2
HUAWEI-mate40pro,"[(1, 1, 1, 3, 2), (2, 2, 2, 3)]",6,0,0,0,0,0,0,3,0,0
HUAWEI-mate40pro,"[(1, 1, 1, 3, 2), (3, 2, 2, 3, 4)]",4,0,0,0,0,0,0,5,0,0
HUAWEI-mate40pro,"[(2, 2, 3), (3, 2, 3, 4)]",3,0,0,0,0,0,0,2,0,0
HUAWEI-mate40pro,"[(2, 2, 3), (3, 2, 3, 4)]",3,0,0,0,0,0,0,3,0,0
HUAWEI-mate40pro,"[(2, 2, 3), (3, 3, 4)]",3,0,0,0,0,0,0,3,0,0
HUAWEI-mate40pro,"[(2, 2, 3), (3, 2, 3, 5, 5)]",3,0,0,0,1,0,0,5,0,1
HUAWEI-mate40pro,"[(2, 2, 3), (3, 2, 4)]",3,0,0,0,0,0,0,2,0,0
HUAWEI-mate40pro,"[(3, 3, 3, 2, 3, 2, 3, 4)]",3,0,0,0,0,0,0,3,0,0
HUAWEI-mate40pro,"[(2, 2, 3), (3, 2, 3, 4)]",3,0,0,0,0,0,0,3,0,0
HUAWEI-mate40pro,"[(1, 1, 2), (3, 2, 2, 3, 4)]",4,0,0,0,0,1,0,6,0,1
HUAWEI-mate40pro,"[(3, 2, 3, 4)]",3,0,0,0,0,0,0,6,0,0
HUAWEI-mate40pro,"[(2, 2, 3), (3, 3, 4)]",3,0,0,0,0,0,0,6,0,0
HUAWEI-mate50pro,"[(3, 2, 2, 3, 4)]",2,1,0,0,0,0,2,6,1,1
HUAWEI-mate50pro,"[(2, 1, 2, 2, 3), (3, 3, 4)]",5,0,0,0,0,0,1,3,0,0
HUAWEI-mate50pro,"[(1, 3, 2), (2, 2, 2, 3)]",4,0,0,0,0,0,2,6,1,0
HUAWEI-mate50pro,"[(2, 2, 2, 3), (3, 3, 4)]",3,0,0,0,0,0,2,4,1,0
HUAWEI-mate50pro,"[(3, 3, 5, 5)]",4,0,0,0,1,0,1,4,1,1
HUAWEI-mate50pro,"[(1, 1, 1, 2), (2, 2, 3)]",1,0,0,0,0,0,2,6,1,0
HUAWEI-mate50pro,"[(2, 2, 2, 3), (3, 3, 4)]",3,0,0,0,0,0,2,5,1,0
HUAWEI-mate50pro,"[(2, 2, 2, 3), (3, 3, 4), (4, 4, 4)]",3,0,0,0,0,1,2,3,1,1
HUAWEI-mate50pro,"[(1, 3, 2), (2, 2, 2, 3)]",3,0,0,0,0,0,2,6,1,0
HUAWEI-mate50pro,"[(1, 3, 2), (2, 2, 2, 3)]",2,0,0,0,0,0,2,6,1,0
HUAWEI-mate60pro,"[(2, 2, 2, 1, 2, 2, 1, 3), (3, 2, 2, 3, 4)]",2,0,0,0,0,0,1,2,0,0
HUAWEI-mate60pro,"[(2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 3), (3, 2, 2, 2, 3, 4)]",4,0,0,0,0,0,1,3,0,0
HUAWEI-mate60pro,"[(2, 1, 2, 2, 2, 1, 2, 3), (3, 2, 2, 3, 4)]",2,0,0,0,0,0,1,2,0,0
HUAWEI-mate60pro,"[(2, 2, 2, 1, 2, 2, 1, 2, 3), (3, 3, 5, 5)]",3,0,0,0,1,0,1,2,0,1
HUAWEI-mate60pro,"[(2, 2, 1, 2, 2, 2, 1, 2, 3), (3, 2, 2, 3, 5, 5)]",1,0,0,0,1,0,1,3,0,1
HUAWEI-mate60pro,"[(2, 2, 1, 2, 3), (3, 2, 2, 3, 4)]",3,0,0,0,0,0,1,2,0,0
HUAWEI-mate60pro,"[(2, 2, 2, 1, 2, 2, 1, 3), (3, 2, 2, 4)]",3,0,0,0,0,0,1,3,0,0
HUAWEI-mate60pro,"[(2, 2, 1, 2, 2, 2, 1, 2, 2, 3), (3, 3, 3, 4)]",3,0,0,0,0,0,1,3,0,0
HUAWEI-mate60pro,"[(2, 2, 2, 1, 2, 2, 2, 3), (3, 2, 2, 4)]",3,0,0,0,0,0,1,3,0,0
HUAWEI-mate60pro,"[(2, 1, 2, 2, 2, 1, 2, 2, 2, 3), (3, 3, 5, 5)]",1,0,0,0,1,0,1,3,0,1
HUAWEI-mate60pro,"[(2, 2, 1, 2, 2, 1, 2, 3), (3, 3, 3, 4)]",2,0,0,0,0,0,1,2,0,0
HUAWEI-mate60pro,"[(2, 2, 1, 2, 2, 1, 2, 3), (3, 2, 2, 3, 4)]",1,0,0,0,0,0,0,3,0,0
HUAWEI-MateBook,"[(2, 2, 3), (3, 3, 5, 5)]",3,0,0,0,1,0,0,0,0,1
HUAWEI-MateBook,"[(3, 3, 4)]",2,0,0,0,0,0,0,0,0,0
HUAWEI-MateBook,"[(2, 2, 3), (3, 2, 3, 4)]",3,0,0,0,0,0,0,0,0,0
HUAWEI-MateBook,"[(1, 5, 5)]",3,0,1,1,1,0,0,0,0,3
HUAWEI-MateBook,"[(2, 2, 3), (3, 3, 4)]",1,0,0,0,0,0,0,0,0,0
HUAWEI-MateBook,"[(2, 2, 3), (3, 2, 3, 4)]",4,0,0,0,0,0,0,0,0,0
HUAWEI-MateBook,"[(2, 2, 2, 3), (3, 3, 4)]",2,0,0,0,0,0,0,0,0,0
HUAWEI-MateBook,"[(3, 3, 3)]",3,1,0,0,1,1,0,0,0,3
HUAWEI-MateBook,"[(1, 3, 2), (2, 2, 4, 4)]",3,0,0,0,0,1,0,0,0,1
HUAWEI-MateBook,"[(2, 2, 3), (3, 3, 3, 3, 3, 3, 3, 4), (4, 1, 2, 3, 3, 3)]",6,0,0,0,0,1,0,0,0,1
HUAWEI-MateBook,"[(2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 3), (3, 3, 3, 4)]",4,0,0,0,0,0,0,0,0,0
HUAWEI-MateBook,"[(2, 2, 3)]",2,0,0,0,0,0,0,0,0,0
IPAD-11air,"[(2, 2, 2, 3), (3, 5, 5)]",0,0,0,0,1,0,4,12,3,1
IPAD-11air,"[(2, 2, 2, 3)]",3,0,0,0,0,0,4,10,3,0
IPAD-11air,"[(2, 2, 3), (3, 3, 4)]",4,0,0,0,0,0,1,3,1,0
IPAD-11air,"[(2, 2, 2, 3), (3, 3, 4)]",4,0,0,0,0,1,2,6,1,1
IPAD-11air,"[(2, 2, 2, 3), (3, 3, 4)]",3,0,0,0,0,0,3,9,2,0
IPAD-11air,"[(2, 2, 3), (3, 3, 5, 5)]",4,0,0,0,1,0,4,9,3,1
IPAD-11air,"[(2, 2, 2, 3), (3, 3, 4)]",0,0,0,0,0,0,1,6,1,0
IPAD-11air,"[(2, 2, 2, 3), (3, 3, 4)]",1,0,0,0,0,0,4,10,3,0
IPAD-11air,"[(2, 2, 2, 3)]",3,0,0,0,0,0,1,6,1,0
IPAD-11air,"[(2, 2, 3), (3, 3, 4)]",3,0,0,0,0,0,4,11,3,0
