Label,Next_Packet_After_First_Stage,First_Stage_Time_Diff,Type_6_Time_Ratio,Range_1,A_CV,Range_2,A_Skewness,Range_1_2
HONOR-70_1,5.603617906570435,0.2029309272766113,-0.8541133566898588,2,1.901370957910188,3,2.426995688469511,1
HONOR-70_1,9.231966972351074,0.2005419731140136,-0.8463205624787493,6,1.7793030184690304,4,2.2535834885922545,2
HONOR-70_1,4.803907871246338,0.201427936553955,-0.8562904657631532,5,1.8133979074548592,7,2.2800737290980235,3
HONOR-70_1,4.534456014633179,0.2076501846313476,-0.8574323610594432,5,1.7394537312223124,2,2.285215413555923,2
HONOR-70_1,5.778409004211426,0.2012319564819336,-0.8576469027093885,4,1.8175158679735537,5,2.293584845917377,3
HONOR-70_1,8.583173036575317,0.2026319503784179,-0.8500788328038591,7,1.5748981852373336,8,1.896346384630687,7
HONOR-70_1,4.36447811126709,0.2011151313781738,-0.8592001782966504,7,1.899116301080862,6,2.448452186512383,5
HONOR-70_1,4.601876974105835,0.2017698287963867,-0.8635280827712681,4,1.837464259127033,5,2.273324140604193,3
HONOR-70_1,4.482576847076416,0.2002718448638916,-0.8569894559649334,5,1.7258883236626277,5,2.1201594745080934,3
HONOR-70_2,5.8335020542144775,0.0333118438720703,-0.6957844259948471,2,1.087911828556837,6,0.9883767583602608,1
HONOR-70_2,5.764261960983276,0.0428950786590576,-0.6891921185004022,2,1.2216605274368837,5,1.750514816137388,1
HONOR-70_2,5.729249000549316,0.0317299365997314,-0.6816846376375995,2,1.0530669242843782,5,0.6667803874512583,1
HONOR-70_2,5.735748052597046,0.047382116317749,-0.5681485395124157,2,1.1944977504937566,5,1.1310330993327442,1
HONOR-70_2,5.742671966552734,0.0355260372161865,-0.5860194487507291,2,0.738382994794309,6,0.272457461691237,1
HONOR-70_2,5.717315912246704,0.0357179641723632,-0.6147638373428043,2,1.2967868894745294,6,1.7860215069071417,1
HONOR-70_2,4.539139032363892,0.0317010879516601,-0.5371077885743492,1,0.7294288017870053,3,0.8059805365609568,0
HONOR-70_2,5.72167181968689,0.0397930145263671,-0.6400625509274802,2,1.2706824402863963,3,1.3196714729561845,1
HONOR-70_2,5.726178169250488,0.0578870773315429,-0.7000032949471983,2,1.163304078830814,6,1.9077140617298465,1
HONOR-70_2,5.756701946258545,0.0412268638610839,-0.3814466972784781,2,0.9852409823751476,6,1.7551056745564584,1
HONOR-70_2,5.746462106704712,0.0408360958099365,-0.7819580917683999,2,1.511337988496947,5,2.260677111726474,1
HONOR-70_2,0.0,0.0347719192504882,-0.411480760264391,0,1.2079325024143903,0,1.6669889706351864,0
HUAWEI-mate30_1,1.080408811569214,0.0351698398590087,-0.5845586490682182,1,1.3510703865151816,3,1.348436126448634,0
HUAWEI-mate30_1,1.1716959476470947,0.3406300544738769,-0.0842762611761971,1,1.5397766268330724,1,2.078710104884247,0
HUAWEI-mate30_1,1.2713119983673096,0.3610191345214844,-0.0564130538150232,1,1.1381897458524255,3,0.851252086952575,0
HUAWEI-mate30_1,1.3052141666412354,0.3673310279846191,-0.0771838478403944,1,1.9435613029744443,3,2.43474996988469,0
HUAWEI-mate30_1,1.309028148651123,0.3624100685119629,-0.0834553681504258,1,1.5067512562808414,3,1.818747518807728,0
HUAWEI-mate30_1,0.0,0.4169180393218994,-0.0355965439093807,0,1.4568259490399502,0,2.00463267803011,0
HUAWEI-mate30_1,1.3005189895629885,0.3434889316558838,-0.0521851576007999,1,1.318220045137939,3,1.167248963090375,0
HUAWEI-mate30_1,1.272536039352417,0.3796350955963135,-0.0655496277409162,1,1.2655270058556152,3,1.4660057962332884,0
HUAWEI-mate30_1,1.1363718509674072,0.4117779731750488,-0.0553452506539779,1,1.3110174442672728,3,1.4033381054344654,0
HUAWEI-mate30_1,1.3383290767669678,0.4578220844268799,-0.0676090811328761,1,1.693929472498577,3,2.0718330630275266,0
HUAWEI-mate30_1,1.1731958389282229,0.0385949611663818,-0.7700998894235802,0,2.077095805366533,2,2.5630869096077658,0
HUAWEI-mate30_1,1.4222369194030762,0.3508188724517822,-0.0760050861706312,1,1.3163623761429633,3,1.872028163159348,0
HUAWEI-mate50pro,1.7533929347991943,0.1610529422760009,-0.9573622697093286,2,1.505953785868963,6,1.8338802912197785,1
HUAWEI-mate50pro,1.546670913696289,0.0708351135253906,-0.4311284937261022,1,1.1209553533906182,3,1.542519625970434,0
HUAWEI-mate50pro,1.7652111053466797,0.2010631561279297,-0.8714971778209929,2,1.726996732558857,6,2.407392736170896,1
HUAWEI-mate50pro,2.0037310123443604,0.0621359348297119,-0.3337502925749279,2,1.5138869638853916,4,2.1335407075488857,1
HUAWEI-mate50pro,1.4893670082092283,0.0760998725891113,-0.5120901292663201,1,0.9506925006820476,4,0.7915926709604427,1
HUAWEI-mate50pro,1.532784938812256,0.0657949447631836,-0.8385151686451846,2,1.520538761523371,6,2.0745036449748966,1
HUAWEI-mate50pro,1.654695987701416,0.0634770393371582,-0.4632402100344797,2,1.1699146282347714,5,1.259723256053109,1
HUAWEI-mate50pro,1.8598721027374268,0.0654621124267578,-0.3683058477317094,2,1.3711250552524663,3,1.4516762572411022,1
HUAWEI-mate50pro,1.8249199390411377,0.1552200317382812,-0.8221107766035884,2,1.1540910920288832,6,1.5435728991050832,1
HUAWEI-mate50pro,1.8159558773040767,0.1205759048461914,-0.7599103873197655,2,0.8023698198565299,6,0.1745473413895579,1
HUAWEI-MateBook,0.0,0.0342271327972412,-0.6986256521708845,0,1.218052044429127,0,1.645798320907535,0
HUAWEI-MateBook,0.0,0.0324828624725341,-0.9266677921067504,0,1.5788160745944868,0,1.508965926228736,0
HUAWEI-MateBook,0.0,0.0222868919372558,-0.8573140204112213,0,1.6421975134765037,0,1.677152597789248,0
HUAWEI-MateBook,0.0,0.0233869552612304,-0.7116788321167871,0,0.7700791477044202,0,0.1647138728407192,0
HUAWEI-MateBook,0.0,0.0306618213653564,-0.7959721628241511,0,1.3443164273423809,0,1.4158144830977053,0
