Label,Type_Sequence,Type_Sequence_In_Range,First_Stage_Time_Diff,Next_Packet_After_First_Stage,Avg_Time_Dst_1,Dst_One_Count,Type_1_First_Occurrence_Time,Type_2_First_Occurrence_Time,Type_3_First_Occurrence_Time,Type_4_First_Occurrence_Time,Type_5_First_Occurrence_Time,Type_6_First_Occurrence_Time,Type_1_Count,Type_2_Count,Type_3_Count,Type_4_Count,Type_5_Count,Type_6_Count,lack,excess,lk_count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5,Range_1,Range_2,Range_1_2
HONOR-60SE_1,"1,2,2,2,1,2,2,3,3,4,5,6,6,6,6","1,1",0.1755399703979492,5.202437162399292,2.612014591693878,2,0.0,3.504753112792969e-05,0.1493110656738281,0.15260910987854,0.1590001583099365,0.1684629917144775,2,5,2,1,1,4,(),"[(2, 2, 2, 1, 2, 2, 3), (3, 3, 4)]",0,0,0,0,0,0,2,0,0
HONOR-60SE_1,"3,3,4,5,6,6,6,6","1,2,2,2,1",0.0259771347045898,13.530189990997314,16.875237067540485,3,0.0,0.0,0.0,0.0023901462554931,0.0093071460723876,0.0231971740722656,0,0,2,1,1,4,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,2,3,1
HONOR-60SE_1,"1,2,2,2,1,2,3,3,4,5,6,6","1,2,2,2,1",0.1754679679870605,5.151948928833008,2.586978495121002,2,0.0,4.601478576660156e-05,0.1463160514831543,0.1515359878540039,0.1570329666137695,0.1735329627990722,2,4,2,1,1,2,(),"[(2, 2, 2, 1, 2, 3), (3, 3, 4)]",0,0,0,0,0,0,2,3,1
HONOR-60SE_1,"3,4,5,6,6,6","1,2,2,2",0.0202300548553466,5.002319097518921,5.002319097518921,1,0.0,0.0,0.0,0.0040681362152099,0.0108101367950439,0.0183281898498535,0,0,1,1,1,3,"(1, 2)",[],2,1,2,0,0,0,1,3,0
HONOR-60SE_1,"3,3,4,5,6,6,6,6","1,2,2,2,1",0.020737886428833,12.388416051864624,17.371527552604675,4,0.0,0.0,0.0,0.0028491020202636,0.0094530582427978,0.0167150497436523,0,0,2,1,1,4,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,2,3,1
HONOR-60SE_1,"3,3,4,5,6,6,6",1,0.0273208618164062,9.314477920532228,15.948630571365356,3,0.0,0.0,0.0,0.0033340454101562,0.0103018283843994,0.0232279300689697,0,0,2,1,1,3,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,1,0,0
HONOR-60SE_1,"3,3,4,5,6,6,6,6","1,2,2,2,1",0.0241250991821289,6.234461069107056,11.278100788593292,4,0.0,0.0,0.0,0.0025579929351806,0.0093810558319091,0.0197930335998535,0,0,2,1,1,4,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,2,3,1
HONOR-60SE_1,"3,3,4,5,6,6,6","1,2,2,2,1",0.0333528518676757,6.198917865753174,11.23580539226532,4,0.0,0.0,0.0,0.0031328201293945,0.0100719928741455,0.0311579704284667,0,0,2,1,1,3,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,2,3,1
HONOR-60SE_1,"3,3,4,5,6,6,6","2,2",0.0305309295654296,6.088867902755737,19.61497124036153,3,0.0,0.0,0.0,0.0028009414672851,0.0093898773193359,0.0254619121551513,0,0,2,1,1,3,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,0,2,0
HONOR-60SE_1,"3,3,4,5,6,6,6","1,1",0.0202231407165527,6.223093986511231,11.253457844257355,4,0.0,0.0,0.0,0.0035321712493896,0.0101079940795898,0.0179760456085205,0,0,2,1,1,3,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,2,0,0
HONOR-60SE_1,"3,3,4,5,6,6,6,6","1,2,2,2,1",0.0282130241394042,9.25547695159912,14.29647672176361,4,0.0,0.0,0.0,0.0038478374481201,0.0111708641052246,0.0226969718933105,0,0,2,1,1,4,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,2,3,1
HONOR-60SE_2,"3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6","2,2,2,2",0.4022078514099121,6.493218898773193,0.0,0,0.0,0.0,0.0,0.2378277778625488,0.2765398025512695,0.3952019214630127,0,0,9,20,1,6,"(1, 2)","[(3, 3, 3, 3, 3, 3, 3, 3, 3, 4), (4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5)]",2,1,2,0,0,0,0,4,0
HONOR-60SE_2,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6","2,2,2",0.2159290313720703,5.038599014282227,0.0,0,0.0,0.0,0.0,0.1623919010162353,0.2031800746917724,0.2031910419464111,0,0,50,47,1,4,"(1, 2)","[(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4), (4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5)]",2,1,2,0,0,0,0,3,0
HONOR-60SE_2,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6","2,2,2,2,2,2",0.3617961406707763,6.633280992507935,0.0,0,0.0,0.0,0.0,0.3229949474334717,0.3510560989379883,0.3510651588439941,0,0,49,24,1,4,"(1, 2)","[(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4), (4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5)]",2,1,2,0,0,0,0,6,0
HONOR-60SE_2,"3,3,3,3,3,4,5,6,6,6,6,6,6,6",,0.3273799419403076,0.0,0.0,0,0.0,0.0,0.0,0.2687211036682129,0.2782430648803711,0.3196969032287597,0,0,5,1,1,7,"(1, 2)","[(3, 3, 3, 3, 3, 4)]",2,1,2,0,0,0,0,0,0
HONOR-60SE_2,"3,3,4,4,4,4,5,6,6,6,6,6,6,6","2,2,2,2,2,2",0.0355200767517089,6.349765062332153,0.0,0,0.0,0.0,0.0,0.0039980411529541,0.0121920108795166,0.0170168876647949,0,0,2,4,1,7,"(1, 2)","[(3, 3, 4), (4, 4, 4, 4, 5)]",2,1,2,0,0,0,0,6,0
HONOR-60SE_2,"3,3,3,4,5,6,6,6,6",,0.0252630710601806,0.0,0.0,0,0.0,0.0,0.0,0.0043840408325195,0.0111401081085205,0.0191309452056884,0,0,3,1,1,4,"(1, 2)","[(3, 3, 3, 4)]",2,1,2,0,0,0,0,0,0
HONOR-60SE_2,"3,3,4,5,6,6,6,6,6","2,2,2,2,2",0.2391321659088134,6.51476001739502,0.0,0,0.0,0.0,0.0,0.1509430408477783,0.1691291332244873,0.2314181327819824,0,0,2,1,1,5,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,0,5,0
HONOR-60SE_2,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,6,6,6,6,6",,0.6001029014587402,0.0,0.0,0,0.0,0.0,0.0,0.4831068515777588,0.5004398822784424,0.5888299942016602,0,0,97,2,1,5,"(1, 2)","[(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4), (4, 4, 5)]",2,1,2,0,0,0,0,0,0
HONOR-60SE_2,"3,3,4,5,6,6,6,6","2,2,2",0.3789970874786377,6.696317195892334,0.0,0,0.0,0.0,0.0,0.3207252025604248,0.3287651538848877,0.3742001056671142,0,0,2,1,1,4,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,0,3,0
