Sample,Type_6_Last_Occurrence_Time,Type_Sequence_In_Range,First_Stage_Time_Diff,Next_Packet_After_First_Stage,Avg_Time_Dst_1,Dst_One_Exists,Dst_One_Count,Type_Unique_Count,Type_Sequence,Type_1_First_Occurrence_Time,Type_2_First_Occurrence_Time,Type_3_First_Occurrence_Time,Type_4_First_Occurrence_Time,Type_5_First_Occurrence_Time,Type_6_First_Occurrence_Time,Type_1_Count,Type_2_Count,Type_3_Count,Type_4_Count,Type_5_Count,Type_6_Count,Type_2_First_Occurrence_Time_Diff,Type_3_First_Occurrence_Time_Diff,Type_4_First_Occurrence_Time_Diff,Type_5_First_Occurrence_Time_Diff,Type_6_First_Occurrence_Time_Diff,Type_Sequence_Descending_Count,Label
0,0.1755399703979492,"1,1",0.1755399703979492,5.202437162399292,2.612014591693878,1,2,6,"1,2,2,2,1,2,2,3,3,4,5,6,6,6",0.0,3.504753112792969e-05,0.1493110656738281,0.15260910987854,0.1590001583099365,0.1684629917144775,2,5,2,1,1,3,3.504753112792969e-05,0.14927601814270017,0.003298044204711914,0.006391048431396484,0.009462833404541016,1,HONOR-60SE_1
1,0.0329458713531494,"1,2,2,1",0.0329458713531494,59.35800886154175,59.36978793144226,0,0,4,"3,3,4,5,6,6,6,6",0.0,0.0,0.0,0.0027189254760742,0.0099618434906005,0.0263218879699707,0,0,2,1,1,4,0.0,0.0,0.0027189254760742,0.0072429180145262995,0.0163600444793702,0,HONOR-60SE_1
2,0.0259771347045898,"1,2,2,2,1",0.0259771347045898,13.530189990997314,16.875237067540485,0,0,4,"3,3,4,5,6,6,6",0.0,0.0,0.0,0.0023901462554931,0.0093071460723876,0.0231971740722656,0,0,2,1,1,3,0.0,0.0,0.0023901462554931,0.0069169998168945,0.013890027999878,0,HONOR-60SE_1
3,0.1754679679870605,"1,2,2,2,1",0.1754679679870605,5.151948928833008,2.586978495121002,1,2,6,"1,2,2,2,1,2,3,3,4,5,6",0.0,4.601478576660156e-05,0.1463160514831543,0.1515359878540039,0.1570329666137695,0.1735329627990722,2,4,2,1,1,1,4.601478576660156e-05,0.1462700366973877,0.005219936370849609,0.005496978759765597,0.016499996185302707,1,HONOR-60SE_1
4,0.0202300548553466,"1,2,2,2",0.0202300548553466,5.002319097518921,5.002319097518921,0,0,4,"3,4,5,6,6",0.0,0.0,0.0,0.0040681362152099,0.0108101367950439,0.0183281898498535,0,0,1,1,1,2,0.0,0.0,0.0040681362152099,0.006742000579834,0.007518053054809598,0,HONOR-60SE_1
5,0.020737886428833,"1,2,2,2,1",0.020737886428833,12.388416051864624,17.371527552604675,0,0,4,"3,3,4,5,6,6,6",0.0,0.0,0.0,0.0028491020202636,0.0094530582427978,0.0167150497436523,0,0,2,1,1,3,0.0,0.0,0.0028491020202636,0.0066039562225342,0.007261991500854499,0,HONOR-60SE_1
6,0.0273208618164062,1,0.0273208618164062,9.314477920532228,15.948630571365356,0,0,4,"3,3,4,5,6,6",0.0,0.0,0.0,0.0033340454101562,0.0103018283843994,0.0232279300689697,0,0,2,1,1,2,0.0,0.0,0.0033340454101562,0.0069677829742432005,0.012926101684570299,0,HONOR-60SE_1
7,0.0241250991821289,"1,2,2,2,1",0.0241250991821289,6.234461069107056,11.278100788593292,0,0,4,"3,3,4,5,6,6,6",0.0,0.0,0.0,0.0025579929351806,0.0093810558319091,0.0197930335998535,0,0,2,1,1,3,0.0,0.0,0.0025579929351806,0.0068230628967285,0.010411977767944398,0,HONOR-60SE_1
8,0.0333528518676757,"1,2,2,2,1",0.0333528518676757,6.198917865753174,11.23580539226532,0,0,4,"3,3,4,5,6,6",0.0,0.0,0.0,0.0031328201293945,0.0100719928741455,0.0311579704284667,0,0,2,1,1,2,0.0,0.0,0.0031328201293945,0.006939172744750999,0.0210859775543212,0,HONOR-60SE_1
9,0.0305309295654296,"2,2",0.0305309295654296,6.088867902755737,19.61497124036153,0,0,4,"3,3,4,5,6,6",0.0,0.0,0.0,0.0028009414672851,0.0093898773193359,0.0254619121551513,0,0,2,1,1,2,0.0,0.0,0.0028009414672851,0.0065889358520507995,0.016072034835815402,0,HONOR-60SE_1
