True_Label,Predicted_Cluster
HONOR-70_1,15
HONOR-70_1,4
HONOR-70_1,15
HONOR-70_1,15
HONOR-70_1,15
HONOR-70_1,2
HONOR-70_1,15
HONOR-70_1,15
HONOR-70_1,15
HONOR-70_2,1
HONOR-70_2,1
HONOR-70_2,1
HONOR-70_2,1
HONOR-70_2,1
HONOR-70_2,1
HONOR-70_2,1
HONOR-70_2,1
HONOR-70_2,1
HONOR-70_2,1
HONOR-70_2,1
HONOR-70_2,8
HUAWEI-mate30_1,22
HUAWEI-mate30_1,0
HUAWEI-mate30_1,0
HUAWEI-mate30_1,0
HUAWEI-mate30_1,0
HUAWEI-mate30_1,0
HUAWEI-mate30_1,0
HUAWEI-mate30_1,0
HUAWEI-mate30_1,0
HUAWEI-mate30_1,0
HUAWEI-mate30_1,22
HUAWEI-mate30_1,0
HUAWEI-mate40,0
HUAWEI-mate40,0
HUAWEI-mate40,0
HUAWEI-mate40,0
HUAWEI-mate40,0
HUAWEI-mate40,0
HUAWEI-mate40,0
HUAWEI-mate40,0
HUAWEI-mate40,16
HUAWEI-mate40,4
HUAWEI-mate40,0
HUAWEI-mate40,0
HUAWEI-mate40pro,0
HUAWEI-mate40pro,0
HUAWEI-mate40pro,0
HUAWEI-mate40pro,0
HUAWEI-mate40pro,0
HUAWEI-mate40pro,0
HUAWEI-mate40pro,9
HUAWEI-mate40pro,0
HUAWEI-mate40pro,0
HUAWEI-mate40pro,0
HUAWEI-mate40pro,0
HUAWEI-mate40pro,0
HUAWEI-mate40pro,0
HUAWEI-mate40pro,0
HUAWEI-mate40pro,0
HUAWEI-mate40pro,0
HUAWEI-mate40pro,0
HUAWEI-mate40pro,0
HUAWEI-mate40pro,0
HUAWEI-mate50pro,21
HUAWEI-mate50pro,9
HUAWEI-mate50pro,21
HUAWEI-mate50pro,9
HUAWEI-mate50pro,9
HUAWEI-mate50pro,21
HUAWEI-mate50pro,9
HUAWEI-mate50pro,9
HUAWEI-mate50pro,-1
HUAWEI-mate50pro,9
HUAWEI-MateBook,8
HUAWEI-MateBook,5
HUAWEI-MateBook,5
HUAWEI-MateBook,8
HUAWEI-MateBook,8
HUAWEI-MateBook,5
HUAWEI-MateBook,5
HUAWEI-MateBook,5
HUAWEI-MateBook,5
HUAWEI-MateBook,2
HUAWEI-MateBook,5
HUAWEI-PadSE,22
HUAWEI-PadSE,22
HUAWEI-PadSE,22
HUAWEI-PadSE,22
HUAWEI-PadSE,22
HUAWEI-PadSE,22
HUAWEI-PadSE,19
HUAWEI-PadSE,22
HUAWEI-PadSE,22
HUAWEI-PadSE,22
HUAWEI-PadSE,22
HUAWEI-PadSE,22
HUAWEI-PadSE,22
