True_Label,Predicted_Cluster
HONOR-70_1,8
HONOR-70_1,12
HONOR-70_1,8
HONOR-70_1,8
HONOR-70_1,8
HONOR-70_1,5
HONOR-70_1,8
HONOR-70_1,8
HONOR-70_1,8
HONOR-70_2,7
HONOR-70_2,7
HONOR-70_2,7
HONOR-70_2,7
HONOR-70_2,7
HONOR-70_2,7
HONOR-70_2,7
HONOR-70_2,7
HONOR-70_2,7
HONOR-70_2,7
HONOR-70_2,7
HONOR-70_2,15
HUAWEI-mate30_1,9
HUAWEI-mate30_1,0
HUAWEI-mate30_1,0
HUAWEI-mate30_1,0
HUAWEI-mate30_1,0
HUAWEI-mate30_1,0
HUAWEI-mate30_1,0
HUAWEI-mate30_1,0
HUAWEI-mate30_1,0
HUAWEI-mate30_1,0
HUAWEI-mate30_1,6
HUAWEI-mate30_1,0
HUAWEI-mate50pro,9
HUAWEI-mate50pro,9
HUAWEI-mate50pro,8
HUAWEI-mate50pro,9
HUAWEI-mate50pro,9
HUAWEI-mate50pro,9
HUAWEI-mate50pro,9
HUAWEI-mate50pro,9
HUAWEI-mate50pro,9
HUAWEI-mate50pro,9
HUAWEI-MateBook,6
HUAWEI-MateBook,6
HUAWEI-MateBook,6
HUAWEI-MateBook,-1
HUAWEI-MateBook,6
HUAWEI-MateBook,6
HUAWEI-MateBook,6
HUAWEI-MateBook,6
HUAWEI-MateBook,6
HUAWEI-MateBook,18
HUAWEI-MateBook,6
HUAWEI-PadSE,9
HUAWEI-PadSE,9
HUAWEI-PadSE,9
HUAWEI-PadSE,9
HUAWEI-PadSE,9
HUAWEI-PadSE,9
HUAWEI-PadSE,4
HUAWEI-PadSE,9
HUAWEI-PadSE,9
HUAWEI-PadSE,9
HUAWEI-PadSE,9
HUAWEI-PadSE,9
HUAWEI-PadSE,9
HUAWEI-PadSE,9
HUAWEI-PadSE,9
OPPO-A36,12
OPPO-A36,13
OPPO-A36,13
OPPO-A36,5
OPPO-A36,5
OPPO-A36,5
OPPO-A36,5
OPPO-A36,13
OPPO-A36,-1
OPPO-A36,13
OPPO-A36,5
OPPO-A36,13
OPPO-A36,5
OPPO-A36,5
OPPO-A36,5
OPPO-FINDX3PRO_2,10
OPPO-FINDX3PRO_2,19
OPPO-FINDX3PRO_2,10
OPPO-FINDX3PRO_2,10
OPPO-FINDX3PRO_2,10
OPPO-FINDX3PRO_2,18
OPPO-FINDX3PRO_2,10
OPPO-FINDX3PRO_2,10
OPPO-FINDX3PRO_2,18
OPPO-FINDX3PRO_2,20
OPPO-FINDX3PRO_2,9
OPPO-FINDX3PRO_2,4
OPPO-FINDX3_2,-1
OPPO-FINDX3_2,11
OPPO-FINDX3_2,11
OPPO-FINDX3_2,11
OPPO-FINDX3_2,20
OPPO-FINDX3_2,4
OPPO-FINDX3_2,19
OPPO-FINDX3_2,11
OPPO-FINDX3_2,11
OPPO-FINDX3_2,4
OPPO-FINDX3_2,19
OPPO-FINDX3_2,11
OPPO-FINDX5_2,15
OPPO-FINDX5_2,15
OPPO-FINDX5_2,15
OPPO-FINDX5_2,15
OPPO-FINDX5_2,15
OPPO-FINDX5_2,14
OPPO-FINDX5_2,15
OPPO-FINDX5_2,14
OPPO-FINDX5_2,15
OPPO-FINDX5_2,15
OPPO-FINDX5_2,6
OPPO-FINDX5_2,15
OPPO-FINDX5_2,14
OPPO-FINDX5_2,14
OPPO-FINDX5_2,14
OPPO-FINDX5_2,15
IQOO-Z9X,12
IQOO-Z9X,12
IQOO-Z9X,12
IQOO-Z9X,12
IQOO-Z9X,12
IQOO-Z9X,5
IQOO-Z9X,12
IQOO-Z9X,12
IQOO-Z9X,5
IQOO-Z9X,5
IQOO-Z9X,5
IQOO-Z9X,-1
VIVO-X60_2,1
VIVO-X60_2,1
VIVO-X60_2,1
VIVO-X60_2,1
VIVO-X60_2,1
VIVO-X60_2,1
VIVO-X60_2,1
VIVO-X60_2,1
VIVO-X60_2,1
VIVO-X60_2,1
VIVO-X60_2,1
VIVO-X60_2,1
VIVO-X60_2,1
VIVO-X60_2,1
VIVO-X60_2,1
VIVO-X70_PRO_1,0
VIVO-X70_PRO_1,2
VIVO-X70_PRO_1,2
VIVO-X70_PRO_1,2
VIVO-X70_PRO_1,2
VIVO-X70_PRO_1,3
VIVO-X70_PRO_1,3
VIVO-X70_PRO_1,2
VIVO-X70_PRO_1,2
VIVO-X70_PRO_1,3
VIVO-X70_PRO_1,-1
VIVO-X70_PRO_1,3
VIVO-X70_PRO_1,2
XIAOMI-10MI1,9
XIAOMI-10MI1,4
XIAOMI-10MI1,-1
XIAOMI-10MI1,9
XIAOMI-10MI1,17
XIAOMI-10MI1,19
XIAOMI-10MI1,18
XIAOMI-10MI1,20
XIAOMI-10MI1,20
XIAOMI-10MI1,17
XIAOMI-10MI1,17
XIAOMI-13,9
XIAOMI-13,11
XIAOMI-13,10
XIAOMI-13,16
XIAOMI-13,16
XIAOMI-13,11
XIAOMI-13,16
XIAOMI-13,-1
XIAOMI-13,11
XIAOMI-13,10
XIAOMI-13,16
XIAOMI-13,16
XIAOMI-MI11Lite,18
XIAOMI-MI11Lite,18
XIAOMI-MI11Lite,18
XIAOMI-MI11Lite,18
XIAOMI-MI11Lite,18
XIAOMI-MI11Lite,18
XIAOMI-MI11Lite,-1
XIAOMI-MI11Lite,18
XIAOMI-MI11Lite,18
XIAOMI-MI11Lite,17
XIAOMI-MI11Lite,18
XIAOMI-MI11Lite,17
